id,era_order,era_name,birth_year_band,birth_year_start,birth_year_end,field,gender,nationality_region,nationality
古代前期__光学__ローマ共和政・帝政圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,光学,女性,南欧,ローマ共和政・帝政圏
古代前期__光学__戦国・秦漢中国圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,光学,女性,東アジア,戦国・秦漢中国圏
古代前期__光学__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,光学,女性,東地中海,古代ギリシア
古代前期__光学__アケメネス朝・ペルシア圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,光学,女性,西アジア,アケメネス朝・ペルシア圏
古代前期__光学__古代インド圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,光学,男性,南アジア,古代インド圏
古代前期__光学__ローマ共和政・帝政圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,光学,男性,南欧,ローマ共和政・帝政圏
古代前期__光学__戦国・秦漢中国圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,光学,男性,東アジア,戦国・秦漢中国圏
古代前期__光学__古代ギリシア__0002,1,古代前期,紀元前400–紀元前1,-400,-1,光学,男性,東地中海,古代ギリシア
古代前期__力学__ヘレニズム圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,力学,ノンバイナリー／その他,東地中海,ヘレニズム圏
古代前期__力学__ローマ共和政・帝政圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,力学,女性,南欧,ローマ共和政・帝政圏
古代前期__力学__戦国・秦漢中国圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,力学,女性,東アジア,戦国・秦漢中国圏
古代前期__力学__ヘレニズム圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,力学,女性,東地中海,ヘレニズム圏
古代前期__力学__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,力学,女性,東地中海,古代ギリシア
古代前期__力学__古代インド圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,南アジア,古代インド圏
古代前期__力学__ローマ共和政・帝政圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,南欧,ローマ共和政・帝政圏
古代前期__力学__戦国・秦漢中国圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,東アジア,戦国・秦漢中国圏
古代前期__力学__ヘレニズム圏__0003,1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,東地中海,ヘレニズム圏
古代前期__力学__古代ギリシア__0002,1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,東地中海,古代ギリシア
古代前期__天文学・宇宙論__古代エジプト__0001,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,ノンバイナリー／その他,北アフリカ,古代エジプト
古代前期__天文学・宇宙論__古代エジプト__0002,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,北アフリカ,古代エジプト
古代前期__天文学・宇宙論__古代インド圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,南アジア,古代インド圏
古代前期__天文学・宇宙論__古代インド圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,南アジア,古代インド圏
古代前期__天文学・宇宙論__ローマ共和政・帝政圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,南欧,ローマ共和政・帝政圏
古代前期__天文学・宇宙論__ローマ共和政・帝政圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,南欧,ローマ共和政・帝政圏
古代前期__天文学・宇宙論__戦国・秦漢中国圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,東アジア,戦国・秦漢中国圏
古代前期__天文学・宇宙論__戦国・秦漢中国圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,東アジア,戦国・秦漢中国圏
古代前期__天文学・宇宙論__ヘレニズム圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,東地中海,ヘレニズム圏
古代前期__天文学・宇宙論__ヘレニズム圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,東地中海,ヘレニズム圏
古代前期__天文学・宇宙論__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,東地中海,古代ギリシア
古代前期__天文学・宇宙論__古代ギリシア__0002,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,東地中海,古代ギリシア
古代前期__天文学・宇宙論__アケメネス朝・ペルシア圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,西アジア,アケメネス朝・ペルシア圏
古代前期__天文学・宇宙論__古代エジプト__0003,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,北アフリカ,古代エジプト
古代前期__天文学・宇宙論__古代インド圏__0003,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,南アジア,古代インド圏
古代前期__天文学・宇宙論__ローマ共和政・帝政圏__0003,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,南欧,ローマ共和政・帝政圏
古代前期__天文学・宇宙論__ローマ共和政・帝政圏__0004,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,南欧,ローマ共和政・帝政圏
古代前期__天文学・宇宙論__戦国・秦漢中国圏__0003,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,東アジア,戦国・秦漢中国圏
古代前期__天文学・宇宙論__戦国・秦漢中国圏__0004,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,東アジア,戦国・秦漢中国圏
古代前期__天文学・宇宙論__ヘレニズム圏__0003,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,東地中海,ヘレニズム圏
古代前期__天文学・宇宙論__ヘレニズム圏__0004,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,東地中海,ヘレニズム圏
古代前期__天文学・宇宙論__古代ギリシア__0003,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,東地中海,古代ギリシア
古代前期__天文学・宇宙論__古代ギリシア__0004,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,東地中海,古代ギリシア
古代前期__天文学・宇宙論__アケメネス朝・ペルシア圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,西アジア,アケメネス朝・ペルシア圏
古代前期__天文学・宇宙論__アケメネス朝・ペルシア圏__0003,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,西アジア,アケメネス朝・ペルシア圏
古代前期__数学・幾何学__ローマ共和政・帝政圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,ノンバイナリー／その他,南欧,ローマ共和政・帝政圏
古代前期__数学・幾何学__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,ノンバイナリー／その他,東地中海,古代ギリシア
古代前期__数学・幾何学__古代エジプト__0001,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,北アフリカ,古代エジプト
古代前期__数学・幾何学__古代インド圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,南アジア,古代インド圏
古代前期__数学・幾何学__古代インド圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,南アジア,古代インド圏
古代前期__数学・幾何学__ローマ共和政・帝政圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,南欧,ローマ共和政・帝政圏
古代前期__数学・幾何学__ローマ共和政・帝政圏__0003,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,南欧,ローマ共和政・帝政圏
古代前期__数学・幾何学__戦国・秦漢中国圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,東アジア,戦国・秦漢中国圏
古代前期__数学・幾何学__戦国・秦漢中国圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,東アジア,戦国・秦漢中国圏
古代前期__数学・幾何学__ヘレニズム圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,東地中海,ヘレニズム圏
古代前期__数学・幾何学__ヘレニズム圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,東地中海,ヘレニズム圏
古代前期__数学・幾何学__古代ギリシア__0002,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,東地中海,古代ギリシア
古代前期__数学・幾何学__古代ギリシア__0003,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,東地中海,古代ギリシア
古代前期__数学・幾何学__古代ギリシア__0004,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,東地中海,古代ギリシア
古代前期__数学・幾何学__アケメネス朝・ペルシア圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,西アジア,アケメネス朝・ペルシア圏
古代前期__数学・幾何学__アケメネス朝・ペルシア圏__0002,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,西アジア,アケメネス朝・ペルシア圏
古代前期__数学・幾何学__古代エジプト__0002,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,男性,北アフリカ,古代エジプト
古代前期__数学・幾何学__古代インド圏__0003,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,男性,南アジア,古代インド圏
古代前期__数学・幾何学__古代インド圏__0004,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,男性,南アジア,古代インド圏
古代前期__数学・幾何学__ローマ共和政・帝政圏__0004,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,男性,南欧,ローマ共和政・帝政圏
古代前期__数学・幾何学__ローマ共和政・帝政圏__0005,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,男性,南欧,ローマ共和政・帝政圏
古代前期__数学・幾何学__戦国・秦漢中国圏__0003,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,男性,東アジア,戦国・秦漢中国圏
