era_order,era_name,birth_year_band,birth_year_start,birth_year_end,field,gender,nationality_region,nationality,count
1,古代前期,紀元前400–紀元前1,-400,-1,光学,女性,南欧,ローマ共和政・帝政圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,光学,女性,東アジア,戦国・秦漢中国圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,光学,女性,東地中海,古代ギリシア,1
1,古代前期,紀元前400–紀元前1,-400,-1,光学,女性,西アジア,アケメネス朝・ペルシア圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,光学,男性,南アジア,古代インド圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,光学,男性,南欧,ローマ共和政・帝政圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,光学,男性,東アジア,戦国・秦漢中国圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,光学,男性,東地中海,古代ギリシア,1
1,古代前期,紀元前400–紀元前1,-400,-1,力学,ノンバイナリー／その他,東地中海,ヘレニズム圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,力学,女性,南欧,ローマ共和政・帝政圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,力学,女性,東アジア,戦国・秦漢中国圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,力学,女性,東地中海,ヘレニズム圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,力学,女性,東地中海,古代ギリシア,1
1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,南アジア,古代インド圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,南欧,ローマ共和政・帝政圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,東アジア,戦国・秦漢中国圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,東地中海,ヘレニズム圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,東地中海,古代ギリシア,1
1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,ノンバイナリー／その他,北アフリカ,古代エジプト,1
1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,北アフリカ,古代エジプト,1
1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,南アジア,古代インド圏,2
1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,南欧,ローマ共和政・帝政圏,2
1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,東アジア,戦国・秦漢中国圏,2
1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,東地中海,ヘレニズム圏,2
1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,東地中海,古代ギリシア,2
1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,西アジア,アケメネス朝・ペルシア圏,1
1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,北アフリカ,古代エジプト,1
