id,era_order,era_name,birth_year_band,birth_year_start,birth_year_end,field,gender,nationality_region,nationality
古代前期__光学__アケメネス朝・ペルシア圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,光学,女性,西アジア,アケメネス朝・ペルシア圏
古代前期__力学__ローマ共和政・帝政圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,南欧,ローマ共和政・帝政圏
古代前期__力学__古代インド圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,南アジア,古代インド圏
古代前期__力学__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,東地中海,古代ギリシア
古代前期__天文学・宇宙論__古代エジプト__0001,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,北アフリカ,古代エジプト
古代前期__天文学・宇宙論__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,東地中海,古代ギリシア
古代前期__天文学・宇宙論__戦国・秦漢中国圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,東アジア,戦国・秦漢中国圏
古代前期__数学・幾何学__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,男性,東地中海,古代ギリシア
古代前期__自然哲学__ヘレニズム圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,自然哲学,女性,東地中海,ヘレニズム圏
古代前期__自然哲学__ローマ共和政・帝政圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,自然哲学,女性,南欧,ローマ共和政・帝政圏
古代前期__自然哲学__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,自然哲学,ノンバイナリー／その他,東地中海,古代ギリシア
古代前期__自然哲学__古代ギリシア__0002,1,古代前期,紀元前400–紀元前1,-400,-1,自然哲学,男性,東地中海,古代ギリシア
古代後期__光学__グプタ朝・インド圏__0001,2,古代後期,1–499,1,499,光学,男性,南アジア,グプタ朝・インド圏
古代後期__光学__ローマ帝国__0001,2,古代後期,1–499,1,499,光学,男性,南欧,ローマ帝国
古代後期__光学__漢〜六朝中国圏__0001,2,古代後期,1–499,1,499,光学,男性,東アジア,漢〜六朝中国圏
古代後期__天文学・宇宙論__アレクサンドリア・エジプト圏__0001,2,古代後期,1–499,1,499,天文学・宇宙論,女性,北アフリカ,アレクサンドリア・エジプト圏
古代後期__天文学・宇宙論__中央アジア回廊__0001,2,古代後期,1–499,1,499,天文学・宇宙論,女性,中央アジア,中央アジア回廊
古代後期__数学・幾何学__グプタ朝・インド圏__0001,2,古代後期,1–499,1,499,数学・幾何学,女性,南アジア,グプタ朝・インド圏
古代後期__数学・幾何学__グプタ朝・インド圏__0002,2,古代後期,1–499,1,499,数学・幾何学,女性,南アジア,グプタ朝・インド圏
古代後期__数学・幾何学__中央アジア回廊__0001,2,古代後期,1–499,1,499,数学・幾何学,ノンバイナリー／その他,中央アジア,中央アジア回廊
古代後期__数学・幾何学__漢〜六朝中国圏__0001,2,古代後期,1–499,1,499,数学・幾何学,女性,東アジア,漢〜六朝中国圏
古代後期__自然哲学__アレクサンドリア・エジプト圏__0001,2,古代後期,1–499,1,499,自然哲学,男性,北アフリカ,アレクサンドリア・エジプト圏
古代後期__自然哲学__サーサーン朝ペルシア圏__0001,2,古代後期,1–499,1,499,自然哲学,男性,西アジア,サーサーン朝ペルシア圏
古代後期__自然哲学__東地中海・後期ヘレニズム圏__0001,2,古代後期,1–499,1,499,自然哲学,女性,東地中海,東地中海・後期ヘレニズム圏
古代後期__自然哲学__東地中海・後期ヘレニズム圏__0002,2,古代後期,1–499,1,499,自然哲学,女性,東地中海,東地中海・後期ヘレニズム圏
中世前期__光学__中央アジア圏__0001,3,中世前期,500–999,500,999,光学,女性,中央アジア,中央アジア圏
中世前期__力学__インド亜大陸圏__0001,3,中世前期,500–999,500,999,力学,女性,南アジア,インド亜大陸圏
中世前期__力学__ビザンツ圏__0001,3,中世前期,500–999,500,999,力学,女性,東地中海,ビザンツ圏
中世前期__力学__北アフリカ圏__0001,3,中世前期,500–999,500,999,力学,女性,北アフリカ,北アフリカ圏
中世前期__天文学・宇宙論__インド亜大陸圏__0001,3,中世前期,500–999,500,999,天文学・宇宙論,女性,南アジア,インド亜大陸圏
中世前期__天文学・宇宙論__インド亜大陸圏__0002,3,中世前期,500–999,500,999,天文学・宇宙論,男性,南アジア,インド亜大陸圏
中世前期__天文学・宇宙論__北アフリカ圏__0001,3,中世前期,500–999,500,999,天文学・宇宙論,女性,北アフリカ,北アフリカ圏
中世前期__実験自然学__ビザンツ圏__0001,3,中世前期,500–999,500,999,実験自然学,女性,東地中海,ビザンツ圏
中世前期__実験自然学__中央アジア圏__0001,3,中世前期,500–999,500,999,実験自然学,女性,中央アジア,中央アジア圏
中世前期__数学・幾何学__イスラム世界__0001,3,中世前期,500–999,500,999,数学・幾何学,女性,西アジア,イスラム世界
中世前期__数学・幾何学__インド亜大陸圏__0001,3,中世前期,500–999,500,999,数学・幾何学,男性,南アジア,インド亜大陸圏
中世前期__数学・幾何学__唐〜五代中国圏__0001,3,中世前期,500–999,500,999,数学・幾何学,女性,東アジア,唐〜五代中国圏
中世前期__数学・幾何学__唐〜五代中国圏__0002,3,中世前期,500–999,500,999,数学・幾何学,女性,東アジア,唐〜五代中国圏
中世前期__数学・幾何学__日本列島圏__0001,3,中世前期,500–999,500,999,数学・幾何学,女性,東アジア,日本列島圏
中世前期__暦法・観測学__北アフリカ圏__0001,3,中世前期,500–999,500,999,暦法・観測学,ノンバイナリー／その他,北アフリカ,北アフリカ圏
中世前期__自然哲学__イスラム世界__0001,3,中世前期,500–999,500,999,自然哲学,男性,西アジア,イスラム世界
中世前期__自然哲学__中央アジア圏__0001,3,中世前期,500–999,500,999,自然哲学,女性,中央アジア,中央アジア圏
中世前期__自然哲学__唐〜五代中国圏__0001,3,中世前期,500–999,500,999,自然哲学,女性,東アジア,唐〜五代中国圏
中世後期__光学__イスラム世界__0001,4,中世後期,1000–1399,1000,1399,光学,男性,西アジア,イスラム世界
中世後期__光学__イベリア圏__0001,4,中世後期,1000–1399,1000,1399,光学,男性,西欧,イベリア圏
中世後期__光学__ビザンツ圏__0001,4,中世後期,1000–1399,1000,1399,光学,男性,東地中海,ビザンツ圏
中世後期__光学__西欧ラテン圏__0001,4,中世後期,1000–1399,1000,1399,光学,女性,西欧,西欧ラテン圏
中世後期__光学__西欧ラテン圏__0002,4,中世後期,1000–1399,1000,1399,光学,女性,西欧,西欧ラテン圏
中世後期__力学__インド亜大陸圏__0001,4,中世後期,1000–1399,1000,1399,力学,男性,南アジア,インド亜大陸圏
中世後期__力学__宋元中国圏__0001,4,中世後期,1000–1399,1000,1399,力学,女性,東アジア,宋元中国圏
中世後期__天文学・宇宙論__イスラム世界__0001,4,中世後期,1000–1399,1000,1399,天文学・宇宙論,男性,西アジア,イスラム世界
中世後期__天文学・宇宙論__イベリア圏__0001,4,中世後期,1000–1399,1000,1399,天文学・宇宙論,男性,西欧,イベリア圏
中世後期__天文学・宇宙論__宋元中国圏__0001,4,中世後期,1000–1399,1000,1399,天文学・宇宙論,女性,東アジア,宋元中国圏
中世後期__天文学・宇宙論__宋元中国圏__0002,4,中世後期,1000–1399,1000,1399,天文学・宇宙論,男性,東アジア,宋元中国圏
中世後期__天文学・宇宙論__日本列島圏__0001,4,中世後期,1000–1399,1000,1399,天文学・宇宙論,女性,東アジア,日本列島圏
中世後期__天文学・宇宙論__西欧ラテン圏__0001,4,中世後期,1000–1399,1000,1399,天文学・宇宙論,女性,西欧,西欧ラテン圏
中世後期__実験自然学__イスラム世界__0001,4,中世後期,1000–1399,1000,1399,実験自然学,男性,西アジア,イスラム世界
中世後期__実験自然学__イスラム世界__0002,4,中世後期,1000–1399,1000,1399,実験自然学,女性,西アジア,イスラム世界
中世後期__実験自然学__ビザンツ圏__0001,4,中世後期,1000–1399,1000,1399,実験自然学,男性,東地中海,ビザンツ圏
中世後期__実験自然学__北アフリカ圏__0001,4,中世後期,1000–1399,1000,1399,実験自然学,男性,北アフリカ,北アフリカ圏
