id,名前,姓,名,ナマエ,セイ,メイ
古代前期__自然哲学__古代ギリシア__0001,トリュステス ペリクラテス,ペリクラテス,トリュステス,トリュステス ペリクラテス,ペリクラテス,トリュステス
古代後期__天文学・宇宙論__アレクサンドリア・エジプト圏__0001,テオリナ ケサンドラ,ケサンドラ,テオリナ,テオリナ ケサンドラ,ケサンドラ,テオリナ
中世前期__数学・幾何学__イスラム世界__0001,アル＝マルーフ サーディク,アル＝マルーフ,サーディク,アル＝マルーフ サーディク,アル＝マルーフ,サーディク
中世後期__暦法・観測学__宋元中国圏__0001,趙明蘭,趙,明蘭,チョウ メイラン,チョウ,メイラン
ルネサンス・初期近世__光学__イタリア諸邦__0001,ロレンツォ ベルガミーニ,ベルガミーニ,ロレンツォ,ロレンツォ ベルガミーニ,ベルガミーニ,ロレンツォ
近世前期__力学__イングランド__0001,Eleanor Radcliffe,Radcliffe,Eleanor,エレノア ラドクリフ,ラドクリフ,エレノア
近世後期__熱学・統計物理__フランス__0001,ジャック・ブルニエ,ブルニエ,ジャック,ジャック・ブルニエ,ブルニエ,ジャック
近代前期__電磁気学__ドイツ__0001,マリー・エルザ・クライン,クライン,マリー・エルザ,マリー・エルザ・クライン,クライン,マリー・エルザ
近代後期__実験物理__日本__0001,村上 薫一郎,村上,薫一郎,ムラカミ カオリイチロウ,ムラカミ,カオリイチロウ
現代前期__理論物理__米国__0001,Claire Whitman,Whitman,Claire,クレア ホイットマン,ホイットマン,クレア
現代中期__原子核物理__ソ連・ロシア__0001,ドミトリ イヴァノフ,イヴァノフ,ドミトリ,ドミトリ イヴァノフ,イヴァノフ,ドミトリ
現代後期__量子情報・量子技術__中国__0001,周 芷若,周,芷若,シュウ チジャオ,シュウ,チジャオ
現代最年少__計算物理__インド__0001,アニル ヴェンカテーシュ,ヴェンカテーシュ,アニル,アニル ヴェンカテーシュ,ヴェンカテーシュ,アニル
