id,era_order,era_name,birth_year_band,birth_year_start,birth_year_end,field,gender,nationality_region,nationality
古代前期__自然哲学__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,自然哲学,男性,東地中海,古代ギリシア
古代前期__数学・幾何学__戦国・秦漢中国圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,女性,東アジア,戦国・秦漢中国圏
古代前期__暦法・観測学__アケメネス朝・ペルシア圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,暦法・観測学,男性,西アジア,アケメネス朝・ペルシア圏
古代前期__自然哲学__ローマ共和政・帝政圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,自然哲学,女性,南欧,ローマ共和政・帝政圏
古代前期__数学・幾何学__古代インド圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,男性,南アジア,古代インド圏
古代前期__暦法・観測学__古代エジプト__0001,1,古代前期,紀元前400–紀元前1,-400,-1,暦法・観測学,女性,北アフリカ,古代エジプト
古代前期__光学__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,光学,ノンバイナリー／その他,東地中海,古代ギリシア
古代前期__光学__戦国・秦漢中国圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,光学,男性,東アジア,戦国・秦漢中国圏
古代後期__天文学・宇宙論__アレクサンドリア・エジプト圏__0001,2,古代後期,1–499,1,499,天文学・宇宙論,女性,北アフリカ,アレクサンドリア・エジプト圏
古代後期__数学・幾何学__漢〜六朝中国圏__0001,2,古代後期,1–499,1,499,数学・幾何学,男性,東アジア,漢〜六朝中国圏
古代後期__数学・幾何学__グプタ朝・インド圏__0001,2,古代後期,1–499,1,499,数学・幾何学,男性,南アジア,グプタ朝・インド圏
古代後期__自然哲学__ローマ帝国__0001,2,古代後期,1–499,1,499,自然哲学,女性,南欧,ローマ帝国
古代後期__暦法・観測学__サーサーン朝ペルシア圏__0001,2,古代後期,1–499,1,499,暦法・観測学,男性,西アジア,サーサーン朝ペルシア圏
古代後期__光学__東地中海・後期ヘレニズム圏__0001,2,古代後期,1–499,1,499,光学,女性,東地中海,東地中海・後期ヘレニズム圏
古代後期__暦法・観測学__漢〜六朝中国圏__0001,2,古代後期,1–499,1,499,暦法・観測学,女性,東アジア,漢〜六朝中国圏
古代後期__光学__グプタ朝・インド圏__0001,2,古代後期,1–499,1,499,光学,男性,南アジア,グプタ朝・インド圏
中世前期__数学・幾何学__イスラム世界__0001,3,中世前期,500–999,500,999,数学・幾何学,男性,西アジア,イスラム世界
中世前期__暦法・観測学__唐〜五代中国圏__0001,3,中世前期,500–999,500,999,暦法・観測学,女性,東アジア,唐〜五代中国圏
中世前期__暦法・観測学__日本列島圏__0001,3,中世前期,500–999,500,999,暦法・観測学,男性,東アジア,日本列島圏
中世前期__数学・幾何学__中央アジア回廊__0001,3,中世前期,500–999,500,999,数学・幾何学,男性,中央アジア,中央アジア回廊
中世前期__自然哲学__西欧ラテン圏__0001,3,中世前期,500–999,500,999,自然哲学,女性,西欧,西欧ラテン圏
中世前期__光学__ビザンツ圏__0001,3,中世前期,500–999,500,999,光学,男性,東地中海,ビザンツ圏
中世前期__天文学・宇宙論__イスラム世界__0001,3,中世前期,500–999,500,999,天文学・宇宙論,女性,西アジア,イスラム世界
中世前期__物質論・錬金術・初期化学__唐〜五代中国圏__0001,3,中世前期,500–999,500,999,物質論・錬金術・初期化学,ノンバイナリー／その他,東アジア,唐〜五代中国圏
中世後期__光学__イスラム世界__0001,4,中世後期,1000–1399,1000,1399,光学,男性,西アジア,イスラム世界
中世後期__暦法・観測学__宋元中国圏__0001,4,中世後期,1000–1399,1000,1399,暦法・観測学,女性,東アジア,宋元中国圏
中世後期__数学・幾何学__インド亜大陸圏__0001,4,中世後期,1000–1399,1000,1399,数学・幾何学,男性,南アジア,インド亜大陸圏
中世後期__自然哲学__ポーランド・東欧圏__0001,4,中世後期,1000–1399,1000,1399,自然哲学,男性,東欧,ポーランド・東欧圏
中世後期__物質論・錬金術・初期化学__イベリア圏__0001,4,中世後期,1000–1399,1000,1399,物質論・錬金術・初期化学,女性,西欧,イベリア圏
中世後期__暦法・観測学__高麗・朝鮮圏__0001,4,中世後期,1000–1399,1000,1399,暦法・観測学,男性,東アジア,高麗・朝鮮圏
中世後期__数学・幾何学__宋元中国圏__0001,4,中世後期,1000–1399,1000,1399,数学・幾何学,男性,東アジア,宋元中国圏
中世後期__数学・幾何学__イスラム世界__0001,4,中世後期,1000–1399,1000,1399,数学・幾何学,女性,西アジア,イスラム世界
ルネサンス・初期近世__光学__イタリア諸邦__0001,5,ルネサンス・初期近世,1400–1599,1400,1599,光学,男性,西欧,イタリア諸邦
ルネサンス・初期近世__天文学・宇宙論__イベリア諸王国__0001,5,ルネサンス・初期近世,1400–1599,1400,1599,天文学・宇宙論,男性,西欧,イベリア諸王国
ルネサンス・初期近世__数学・幾何学__ドイツ圏__0001,5,ルネサンス・初期近世,1400–1599,1400,1599,数学・幾何学,女性,西欧,ドイツ圏
ルネサンス・初期近世__暦法・観測学__明中国__0001,5,ルネサンス・初期近世,1400–1599,1400,1599,暦法・観測学,女性,東アジア,明中国
ルネサンス・初期近世__自然哲学__ラテンアメリカ植民地圏__0001,5,ルネサンス・初期近世,1400–1599,1400,1599,自然哲学,男性,中南米,ラテンアメリカ植民地圏
ルネサンス・初期近世__物質論・錬金術・初期化学__フランス王国__0001,5,ルネサンス・初期近世,1400–1599,1400,1599,物質論・錬金術・初期化学,女性,西欧,フランス王国
ルネサンス・初期近世__力学__イタリア諸邦__0001,5,ルネサンス・初期近世,1400–1599,1400,1599,力学,女性,西欧,イタリア諸邦
