id,名前,姓,名,ナマエ,セイ,メイ
古代前期__自然哲学__古代ギリシア__0001,デレウクス ペリマコス,デレウクス,ペリマコス,デレウクス ペリマコス,デレウクス,ペリマコス
古代前期__数学・幾何学__戦国・秦漢中国圏__0001,竺芳華,竺,芳華,チク ホウカ,チク,ホウカ
古代前期__暦法・観測学__アケメネス朝・ペルシア圏__0001,ヴァリシャ スパンダル,ヴァリシャ,スパンダル,ヴァリシャ スパンダル,ヴァリシャ,スパンダル
古代前期__自然哲学__ローマ共和政・帝政圏__0001,ラヴィア クィリリア,クィリリア,ラヴィア,ラヴィア クィリリア,クィリリア,ラヴィア
古代前期__数学・幾何学__古代インド圏__0001,デーヴァナンダ マイトラーヤナ,デーヴァナンダ,マイトラーヤナ,デーヴァナンダ マイトラーヤナ,デーヴァナンダ,マイトラーヤナ
古代前期__暦法・観測学__古代エジプト__0001,ネフェルティア メルエト,ネフェルティア,メルエト,ネフェルティア メルエト,ネフェルティア,メルエト
古代前期__光学__古代ギリシア__0001,ケルモシス スタルペイオス,ケルモシス,スタルペイオス,ケルモシス スタルペイオス,ケルモシス,スタルペイオス
古代前期__光学__戦国・秦漢中国圏__0001,公孫暉,公孫,暉,コウソン キ,コウソン,キ
古代後期__天文学・宇宙論__アレクサンドリア・エジプト圏__0001,サルセネ テーモス,サルセネ,テーモス,サルセネ テーモス,サルセネ,テーモス
古代後期__数学・幾何学__漢〜六朝中国圏__0001,沈大量,沈,大量,シン タイリャン,シン,タイリャン
古代後期__数学・幾何学__グプタ朝・インド圏__0001,チャンドラヴィーマン タランパーダ,タランパーダ,チャンドラヴィーマン,チャンドラヴィーマン タランパーダ,タランパーダ,チャンドラヴィーマン
古代後期__自然哲学__ローマ帝国__0001,ルシリア セヴェラ,ルシリア,セヴェラ,ルシリア セヴェラ,ルシリア,セヴェラ
古代後期__暦法・観測学__サーサーン朝ペルシア圏__0001,フトフルシュ ファルハード,フトフルシュ,ファルハード,フトフルシュ ファルハード,フトフルシュ,ファルハード
古代後期__光学__東地中海・後期ヘレニズム圏__0001,アガペイア ソティラキス,ソティラキス,アガペイア,アガペイア ソティラキス,ソティラキス,アガペイア
古代後期__暦法・観測学__漢〜六朝中国圏__0001,馮婉儀,馮,婉儀,フウ エンギ,フウ,エンギ
古代後期__光学__グプタ朝・インド圏__0001,ヴィヴェーカーナンダ プラジャーパティ,プラジャーパティ,ヴィヴェーカーナンダ,ヴィヴェーカーナンダ プラジャーパティ,プラジャーパティ,ヴィヴェーカーナンダ
中世前期__数学・幾何学__イスラム世界__0001,ハーリド イブラーヒーム,イブラーヒーム,ハーリド,ハーリド イブラーヒーム,イブラーヒーム,ハーリド
中世前期__暦法・観測学__唐〜五代中国圏__0001,呉婉柔,呉,婉柔,ゴ ワンジュウ,ゴ,ワンジュウ
中世前期__暦法・観測学__日本列島圏__0001,藤原 慧明,藤原,慧明,フジワラ ケイメイ,フジワラ,ケイメイ
中世前期__数学・幾何学__中央アジア回廊__0001,アリフ カーリム,アリフ,カーリム,アリフ カーリム,アリフ,カーリム
中世前期__自然哲学__西欧ラテン圏__0001,イレーネ・アルマニャック,アルマニャック,イレーネ,イレーネ・アルマニャック,アルマニャック,イレーネ
中世前期__光学__ビザンツ圏__0001,レオンティオス カリストス,カリストス,レオンティオス,レオンティオス カリストス,カリストス,レオンティオス
中世前期__天文学・宇宙論__イスラム世界__0001,ナーイマ・ザフラーン,ザフラーン,ナーイマ,ナーイマ ザフラーン,ザフラーン,ナーイマ
中世前期__物質論・錬金術・初期化学__唐〜五代中国圏__0001,陳 維恭,陳,維恭,チン イキョウ,チン,イキョウ
中世後期__光学__イスラム世界__0001,ザーヒル・アル＝マンサリー,アル＝マンサリー,ザーヒル,ザーヒル・アル＝マンサリー,アル＝マンサリー,ザーヒル
中世後期__暦法・観測学__宋元中国圏__0001,秦芷蘭,秦,芷蘭,シン シラン,シン,シラン
中世後期__数学・幾何学__インド亜大陸圏__0001,バラデーヴ ラーマチャンドラ,バラデーヴ,ラーマチャンドラ,バラデーヴ ラーマチャンドラ,バラデーヴ,ラーマチャンドラ
中世後期__自然哲学__ポーランド・東欧圏__0001,ボレスワフ ミスチェフスキ,ミスチェフスキ,ボレスワフ,ボレスワフ ミスチェフスキ,ミスチェフスキ,ボレスワフ
中世後期__物質論・錬金術・初期化学__イベリア圏__0001,イサベル・トレスコ,トレスコ,イサベル,イサベル・トレスコ,トレスコ,イサベル
中世後期__暦法・観測学__高麗・朝鮮圏__0001,元澄河,元,澄河,ゲンチョンハ,ゲン,チョンハ
中世後期__数学・幾何学__宋元中国圏__0001,黄尚義,黄,尚義,コウ ショウギ,コウ,ショウギ
中世後期__数学・幾何学__イスラム世界__0001,サーフィヤ・バーベルザード,バーベルザード,サーフィヤ,サーフィヤ・バーベルザード,バーベルザード,サーフィヤ
ルネサンス・初期近世__光学__イタリア諸邦__0001,ガブリエーレ・マレンツィオ,マレンツィオ,ガブリエーレ,ガブリエーレ・マレンツィオ,マレンツィオ,ガブリエーレ
ルネサンス・初期近世__天文学・宇宙論__イベリア諸王国__0001,ルイス・デ・サグレス,デ・サグレス,ルイス,ルイス・デ・サグレス,デ・サグレス,ルイス
ルネサンス・初期近世__数学・幾何学__ドイツ圏__0001,ヘルガ・ラインケ,ラインケ,ヘルガ,ヘルガ・ラインケ,ラインケ,ヘルガ
ルネサンス・初期近世__暦法・観測学__明中国__0001,宋 芷嫣,宋,芷嫣,ソン シエン,ソン,シエン
ルネサンス・初期近世__自然哲学__ラテンアメリカ植民地圏__0001,ホセ・カルロス・デ・クエバス,デ・クエバス,ホセ・カルロス,ホセ・カルロス・デ・クエバス,デ・クエバス,ホセ・カルロス
ルネサンス・初期近世__物質論・錬金術・初期化学__フランス王国__0001,マルグリット・シャンパーニュ,シャンパーニュ,マルグリット,マルグリット・シャンパーニュ,シャンパーニュ,マルグリット
ルネサンス・初期近世__力学__イタリア諸邦__0001,ビアンカ・ロヴェッリ,ロヴェッリ,ビアンカ,ビアンカ・ロヴェッリ,ロヴェッリ,ビアンカ
ルネサンス・初期近世__数学・幾何学__オーストリア・ハプスブルク圏__0001,ヨハン ネストルク,ネストルク,ヨハン,ヨハン ネストルク,ネストルク,ヨハン
近世前期__力学__イングランド__0001,エドワード・ハーグリーブス,ハーグリーブス,エドワード,エドワード・ハーグリーブス,ハーグリーブス,エドワード
近世前期__光学__フランス王国__0001,アニェス・デュボワ,デュボワ,アニェス,アニェス・デュボワ,デュボワ,アニェス
近世前期__光学__オランダ__0001,フリース・ファン・デル・リート,ファン・デル・リート,フリース,フリース ファン・デル・リート,ファン・デル・リート,フリース
近世前期__暦法・観測学__明清中国__0001,羅 明達,羅,明達,ラ ミョウタツ,ラ,ミョウタツ
近世前期__数学・幾何学__オスマン圏__0001,ミルサーデ・ベイム,ベイム,ミルサーデ,ミルサーデ ベイム,ベイム,ミルサーデ
近世前期__天文学・宇宙論__ポーランド・東欧圏__0001,ヤクブ・ラドウィツキ,ラドウィツキ,ヤクブ,ヤクブ・ラドウィツキ,ラドウィツキ,ヤクブ
近世前期__実験自然学__イングランド__0001,エリザベス・クロムウェル,クロムウェル,エリザベス,エリザベス・クロムウェル,クロムウェル,エリザベス
近世前期__数学・幾何学__ドイツ圏__0001,カール・フォン・アルブレヒト,フォン・アルブレヒト,カール,カール・フォン・アルブレヒト,フォン・アルブレヒト,カール
近世後期__熱学・統計物理__英国__0001,ジョナサン・ブラックストーン,ブラックストーン,ジョナサン,ジョナサン・ブラックストーン,ブラックストーン,ジョナサン
近世後期__天文学・宇宙論__フランス__0001,アデル・ユベール,ユベール,アデル,アデル・ユベール,ユベール,アデル
近世後期__電磁気学__スウェーデン__0001,アクセル・スヴェンスソン,スヴェンスソン,アクセル,アクセル スヴェンスソン,スヴェンスソン,アクセル
