id,era_order,era_name,birth_year_band,birth_year_start,birth_year_end,field,gender,nationality_region,nationality
古代前期__光学__アケメネス朝・ペルシア圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,光学,女性,西アジア,アケメネス朝・ペルシア圏
古代前期__力学__ローマ共和政・帝政圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,南欧,ローマ共和政・帝政圏
古代前期__力学__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,力学,男性,東地中海,古代ギリシア
古代前期__天文学・宇宙論__古代エジプト__0001,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,男性,北アフリカ,古代エジプト
古代前期__天文学・宇宙論__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,天文学・宇宙論,女性,東地中海,古代ギリシア
古代前期__数学・幾何学__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,数学・幾何学,男性,東地中海,古代ギリシア
古代前期__自然哲学__ヘレニズム圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,自然哲学,女性,東地中海,ヘレニズム圏
古代前期__自然哲学__ローマ共和政・帝政圏__0001,1,古代前期,紀元前400–紀元前1,-400,-1,自然哲学,女性,南欧,ローマ共和政・帝政圏
古代前期__自然哲学__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,自然哲学,ノンバイナリー／その他,東地中海,古代ギリシア
古代前期__自然哲学__古代ギリシア__0002,1,古代前期,紀元前400–紀元前1,-400,-1,自然哲学,男性,東地中海,古代ギリシア
