id,era_order,era_name,birth_year_band,birth_year_start,birth_year_end,field,gender,nationality_region,nationality
近代後期__凝縮系物理__ドイツ__0002,9,近代後期,1850–1899,1850,1899,凝縮系物理,女性,西欧,ドイツ
近代後期__凝縮系物理__ドイツ__0004,9,近代後期,1850–1899,1850,1899,凝縮系物理,女性,西欧,ドイツ
近代後期__原子・分子・光物理__ドイツ__0002,9,近代後期,1850–1899,1850,1899,原子・分子・光物理,女性,西欧,ドイツ
近代後期__地球惑星物理__ドイツ__0001,9,近代後期,1850–1899,1850,1899,地球惑星物理,女性,西欧,ドイツ
近代後期__実験物理__ドイツ__0001,9,近代後期,1850–1899,1850,1899,実験物理,女性,西欧,ドイツ
近代後期__実験物理__ドイツ__0002,9,近代後期,1850–1899,1850,1899,実験物理,女性,西欧,ドイツ
近代後期__電磁気学__ドイツ__0001,9,近代後期,1850–1899,1850,1899,電磁気学,女性,西欧,ドイツ
近代後期__電磁気学__ドイツ__0002,9,近代後期,1850–1899,1850,1899,電磁気学,女性,西欧,ドイツ
近代後期__電磁気学__ドイツ__0004,9,近代後期,1850–1899,1850,1899,電磁気学,女性,西欧,ドイツ
近代後期__電磁気学__ドイツ__0005,9,近代後期,1850–1899,1850,1899,電磁気学,女性,西欧,ドイツ
